word,[count]
you,[101990052]
the,[77621929]
to,[58393171]
a,[49880922]
it,[47086146]
that,[35242137]
and,[35092529]
of,[30218636]
do,[29751382]
is,[26464284]
in,[25228043]
what,[24585133]
we,[24010072]
me,[22778962]
he,[19107461]
for,[17539025]
on,[17445901]
my,[17100016]
have,[16978952]
your,[16520740]
no,[15952514]
not,[15031294]
are,[14971054]
be,[14492915]
know,[13889887]
with,[12842073]
all,[12818456]
but,[12083400]
just,[11785566]
so,[11511959]
here,[11140672]
there,[11058662]
they,[10700523]
get,[10587896]
like,[10082580]
did,[9674045]
go,[9629262]
right,[9542111]
she,[9298360]
can,[9286434]
out,[9157329]
if,[8977956]
up,[8974454]
about,[8599805]
him,[8597936]
got,[8307742]
at,[8159999]
now,[8082054]
one,[8047802]
come,[7823316]
yeah,[7527795]
how,[7446528]
well,[7263001]
her,[7261082]
want,[6707410]
will,[6536861]
think,[6386715]
good,[6233304]
see,[6121609]
let,[6016886]
who,[5958464]
why,[5832809]
from,[5767940]
his,[5716152]
would,[5539926]
okay,[5469482]
yes,[5256150]
when,[5134874]
going,[5131375]
back,[5125216]
time,[5043979]
an,[4930909]
na,[4808077]
look,[4758914]
gon,[4755036]
were,[4736291]
them,[4713375]
where,[4704052]
could,[4660158]
take,[4601935]
man,[4583961]
been,[4393501]
ca,[4380770]
hey,[4361593]
or,[4357395]
had,[4303232]
then,[4205227]
tell,[4136670]
our,[4121087]
some,[4079486]
say,[3943555]
really,[3861934]
down,[3696945]
something,[3640798]
by,[3640756]
way,[3563817]
more,[3449837]
too,[3431552]
make,[3396984]
never,[3293446]
should,[3201675]
over,[3154181]
little,[3076612]
very,[3013701]
people,[3009314]
please,[2987131]
sorry,[2984116]
off,[2973661]
only,[2955942]
because,[2908484]
mean,[2875777]
give,[2831995]
said,[2778150]
two,[2761404]
love,[2749332]
thank,[2698031]
am,[2681153]
any,[2674332]
doing,[2605312]
thing,[2502126]
sure,[2476588]
even,[2457315]
much,[2451535]
help,[2405358]
uh,[2382555]
these,[2367797]
god,[2345340]
sir,[2308240]
find,[2250628]
into,[2241384]
anything,[2204331]
still,[2193326]
first,[2191956]
life,[2153877]
nothing,[2150723]
day,[2113105]
wait,[2070334]
work,[2070308]
maybe,[2062724]
stop,[2054083]
call,[2045847]
before,[2027144]
again,[2022031]
their,[2005748]
must,[1975253]
put,[1967737]
talk,[1963679]
than,[1951980]
night,[1930369]
other,[1922052]
away,[1916853]
thought,[1910457]
home,[1885471]
after,[1870990]
great,[1863781]
those,[1847184]
last,[1832236]
keep,[1817249]
better,[1796319]
told,[1774307]
long,[1757160]
new,[1756800]
everything,[1754672]
wo,[1687787]
always,[1668586]
name,[1651919]
around,[1649979]
guy,[1647216]
ever,[1630744]
old,[1608394]
leave,[1597111]
money,[1551660]
place,[1526199]
father,[1498231]
made,[1491375]
feel,[1490667]
big,[1464253]
believe,[1455463]
done,[1427638]
fine,[1414467]
through,[1397645]
nice,[1396002]
stay,[1389714]
three,[1387573]
every,[1386501]
coming,[1381016]
lot,[1373704]
hello,[1370194]
which,[1368712]
girl,[1368281]
someone,[1366477]
kind,[1359089]
shit,[1347724]
kill,[1342006]
left,[1325711]
listen,[1317985]
house,[1312364]
hear,[1310807]
world,[1308933]
bad,[1304694]
enough,[1299958]
wrong,[1296628]
may,[1287650]
fuck,[1282685]
being,[1278807]
might,[1273705]
course,[1273676]
understand,[1271531]
remember,[1271337]
dad,[1261711]
dead,[1254894]
ok,[1248418]
another,[1245419]
hell,[1239466]
came,[1225353]
mother,[1221235]
own,[1219818]
talking,[1214335]
ask,[1192524]
fucking,[1186654]
son,[1182321]
looking,[1179256]
else,[1175008]
today,[1169418]
car,[1168353]
show,[1162215]
found,[1159638]
huh,[1156665]
same,[1150468]
boy,[1143387]
care,[1143157]
getting,[1140866]
move,[1132182]
hi,[1131724]
next,[1131444]
woman,[1120510]
try,[1116409]
baby,[1091551]
trying,[1090252]
mind,[1088761]
friend,[1085723]
real,[1075160]
yourself,[1069460]
best,[1058984]
went,[1042118]
many,[1033125]
hold,[1031918]
job,[1025171]
saw,[1022268]
wanna,[1022079]
mom,[1020602]
ta,[1013806]
morning,[1011114]
together,[1006820]
room,[1004681]
family,[998447]
men,[991775]
door,[989721]
head,[979137]
seen,[976679]
without,[970030]
ready,[954548]
heard,[949296]
already,[947804]
most,[946994]
live,[945593]
both,[942970]
actually,[931401]
knew,[930005]
once,[921929]
miss,[921832]
run,[918131]
pretty,[907858]
took,[903954]
idea,[898432]
guess,[898334]
whole,[896886]
use,[888491]
yet,[886968]
brother,[883478]
wife,[881000]
bring,[872887]
start,[866515]
while,[864331]
phone,[860468]
meet,[856042]
happy,[854841]
matter,[849910]
hard,[849369]
open,[845889]
gone,[841874]
tonight,[838387]
um,[837655]
since,[832965]
everyone,[824933]
such,[818657]
end,[818285]
year,[817910]
saying,[812983]
die,[812505]
alone,[811554]
ah,[810987]
myself,[809953]
ago,[805356]
problem,[804295]
face,[804060]
tomorrow,[801851]
bit,[798024]
few,[795872]
anyone,[790188]
excuse,[787303]
play,[786883]
turn,[786707]
until,[785660]
school,[781118]
hope,[779080]
lost,[778123]
watch,[769781]
hand,[758999]
five,[758257]
ai,[757756]
also,[746429]
case,[730778]
business,[727926]
true,[724156]
heart,[720910]
soon,[716426]
second,[716247]
damn,[708030]
kid,[707717]
worry,[704907]
police,[704566]
sit,[692834]
shut,[692353]
each,[692000]
probably,[690039]
everybody,[686926]
minute,[682601]
working,[677638]
under,[675937]
thinking,[675010]
later,[674185]
having,[670244]
exactly,[669635]
part,[668442]
beautiful,[663971]
music,[662771]
crazy,[660867]
whatever,[659445]
death,[658838]
check,[658104]
stuff,[655134]
four,[654639]
hit,[653094]
late,[650380]
eat,[645267]
doctor,[644832]
easy,[641332]
water,[641205]
happen,[638861]
young,[638294]
far,[638176]
somebody,[638144]
deal,[636122]
gave,[634194]
bye,[632159]
pay,[625483]
change,[624019]
person,[623589]
inside,[622989]
forget,[622581]
point,[619063]
taking,[618853]
fire,[613653]
close,[608710]
drink,[606597]
fight,[605279]
mine,[599034]
word,[598622]
hurt,[594607]
chance,[590696]
set,[589439]
number,[584734]
afraid,[579903]
making,[575077]
its,[572940]
body,[571233]
nobody,[570737]
shot,[569475]
cut,[568151]
story,[564616]
stand,[564303]
high,[564145]
sleep,[563666]
against,[561875]
different,[561873]
blood,[560153]
rest,[559768]
half,[559115]
anyway,[558735]
whoa,[556400]
side,[555588]
wish,[553213]
read,[550841]
ass,[549416]
party,[547581]
gun,[547135]
trust,[542648]
fun,[542358]
least,[542280]
waiting,[541933]
shall,[541070]
daughter,[540879]
week,[540305]
game,[538787]
war,[536417]
quite,[534825]
captain,[529168]
important,[528591]
speak,[528517]
moment,[528362]
city,[524964]
behind,[521541]
truth,[520218]
break,[519475]
children,[518270]
though,[518105]
sister,[515855]
walk,[513288]
husband,[513205]
playing,[512167]
goes,[509180]
town,[507470]
line,[507123]
question,[506541]
free,[505427]
six,[504430]
yours,[503926]
dear,[503684]
anymore,[503491]
lady,[502496]
between,[499505]
almost,[498522]
welcome,[496958]
reason,[496935]
power,[492383]
ha,[490709]
trouble,[490422]
honey,[489295]
child,[488740]
office,[484856]
met,[484782]
lord,[483440]
full,[482225]
cool,[482173]
clear,[482005]
couple,[481750]
save,[479011]
telling,[478573]
able,[477742]
women,[477070]
alive,[476178]
wow,[473268]
brought,[469327]
either,[468841]
answer,[467934]
send,[467094]
front,[463592]
safe,[462262]
hate,[460286]
light,[459043]
dog,[458766]
team,[456533]
stupid,[455621]
king,[452065]
outside,[448632]
funny,[443739]
black,[443615]
ahead,[441815]
pick,[440506]
buy,[440491]
hot,[439763]
plan,[439476]
bitch,[438565]
order,[435768]
hurry,[435251]
country,[429587]
along,[425967]
white,[424338]
running,[423374]
promise,[422598]
anybody,[422366]
shoot,[422052]
hour,[421054]
lose,[418905]
food,[417232]
fact,[412639]
book,[407284]
feeling,[407260]
living,[403830]
sent,[398226]
taken,[393341]
become,[390893]
leaving,[390394]
dinner,[389742]
control,[388607]
lives,[388480]
air,[385939]
human,[383131]
drive,[382561]
sick,[382068]
perfect,[381813]
touch,[381570]
special,[379505]
himself,[377848]
boss,[376865]
daddy,[373843]
company,[373833]
perhaps,[373699]
earth,[372469]
sort,[370734]
laughing,[368412]
serious,[367525]
sound,[365683]
ten,[364582]
top,[364490]
past,[363943]
small,[362719]
hang,[362294]
follow,[358789]
law,[357909]
asking,[357351]
president,[357298]
fast,[356973]
luck,[355608]
possible,[355541]
pull,[354270]
street,[350963]
cold,[347889]
glad,[347066]
till,[346898]
win,[343288]
million,[341492]
hair,[341298]
seem,[337213]
known,[336133]
poor,[336083]
murder,[334574]
sweet,[334173]
sense,[333414]
master,[332623]
catch,[332266]
lie,[331854]
ship,[331795]
speaking,[331608]
gentlemen,[330458]
voice,[328258]
dream,[328144]
meeting,[326983]
lucky,[326778]
finally,[326505]
hospital,[326242]
uncle,[325753]
bet,[325214]
drop,[324629]
ooh,[322664]
alright,[322639]
sign,[322605]
calling,[321706]
secret,[320896]
dance,[320528]
somewhere,[320291]
step,[318283]
sex,[318110]
eye,[315693]
clean,[313553]
moving,[311996]
straight,[311093]
dude,[310705]
longer,[310559]
write,[310507]
less,[309689]
piece,[308954]
careful,[308536]
figure,[305091]
future,[303761]
felt,[303702]
return,[303686]
fall,[303472]
rather,[302130]
quiet,[302116]
beat,[299780]
coffee,[299643]
date,[298078]
road,[297548]
general,[296700]
choice,[296307]
state,[294989]
feet,[293936]
ya,[293896]
given,[293815]
security,[293698]
seeing,[293556]
learn,[293144]
evening,[292775]
worth,[292594]
fault,[292038]
none,[291790]
calm,[290353]
throw,[289615]
seven,[288036]
explain,[287366]
wake,[287317]
officer,[284973]
happening,[283271]
picture,[282642]
quick,[282023]
kidding,[280888]
absolutely,[280294]
wonderful,[279447]
report,[278247]
giving,[277694]
agent,[277636]
land,[276869]
ride,[275245]
mad,[274965]
class,[274783]
strong,[274600]
system,[274071]
pain,[273689]
weird,[272629]
dark,[272388]
building,[270954]
wonder,[269335]
early,[268516]
worse,[266388]
missing,[266379]
song,[266344]
pass,[265956]
chief,[265795]
